,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
753,2-STORY 1946 & NEWER,Residential Low-Density,80,10240sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,8,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,178squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,Unf,0,Unfinished,0,1030,1030,Gas forced warm air furnace,Good,Yes,SBrkr,1038,1060,0square feet,2098,2,1,3,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,RFn,3,878square feet,Typical/Average,TA,Paved,192square feet,52square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Warranty Deed - Conventional,Normal Sale,275500
754,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,61,7930sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,8,1969,2005,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,GLQ,439,Low Quality,472,115,1026,Gas forced warm air furnace,Good,Yes,SBrkr,1026,0,0square feet,1026,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1969.0,RFn,2,440square feet,Typical/Average,TA,Paved,171square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,156000
755,2-STORY PUD - 1946 & NEWER,Floating Village Residential,34,3230sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Townhouse End Unit,Two-story,6,5,1999,1999,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,894squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,381,Unfinished,0,348,729,Gas forced warm air furnace,Good,Yes,SBrkr,742,729,0square feet,1471,2,1,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1999.0,Unf,2,440square feet,Typical/Average,TA,Paved,0square feet,24square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2009,Warranty Deed - Conventional,Normal Sale,172500
756,2-STORY 1946 & NEWER,Residential Low-Density,68,10769sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,20,Unfinished,0,846,866,Gas forced warm air furnace,Excellent,Yes,SBrkr,866,902,0square feet,1768,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007.0,RFn,2,578square feet,Typical/Average,TA,Paved,144square feet,105square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2009,Warranty Deed - Conventional,Normal Sale,212000
757,2-STORY 1946 & NEWER,Residential Low-Density,0,11616sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Sawyer,Normal,Single-family Detached,Two-story,6,5,1978,1978,Hip,Standard (Composite) Shingle,Hard Board,Brick Common,328squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,Rec,438,Unfinished,0,234,672,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,672,714,0square feet,1386,2,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1978.0,Fin,2,440square feet,Typical/Average,TA,Paved,335square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Apr&2010,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",158900
758,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2280sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Twnhs,Two-story,7,5,1999,1999,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,360squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,ALQ,549,Unfinished,0,195,744,Gas forced warm air furnace,Good,Yes,SBrkr,757,744,0square feet,1501,2,1,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1999.0,Unf,2,440square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2008,Warranty Deed - Conventional,Normal Sale,179400
759,2-STORY 1946 & NEWER,Residential Low-Density,65,12257sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NoRidge,Normal,Single-family Detached,Two-story,8,5,1995,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,513squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),LwQ,56,Average Living Quarters,64,1198,1318,Gas forced warm air furnace,Excellent,Yes,SBrkr,1328,1203,0square feet,2531,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995.0,RFn,3,752square feet,Typical/Average,TA,Paved,222square feet,98square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2007,Warranty Deed - Conventional,Normal Sale,290000
760,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,6,1959,1959,Hip,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,612,Unfinished,0,252,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,864,0,0square feet,864,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,2008.0,Unf,1,300square feet,Excellent,Ex,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),450,Oct&2009,Warranty Deed - Conventional,Normal Sale,127500
761,1-STORY 1945 & OLDER,RM,60,6911sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,BrkSide,Adjacent to feeder street&Normal,Single-family Detached,One story,5,5,1924,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed&Mimimum Exposure,LwQ,405,Unfinished,0,740,1145,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1301,0,0square feet,1301,1,0,2,1,Fair,5,Minor Deductions 1,0,No,Detached from home,1965.0,Unf,2,440square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Oct&2009,Warranty Deed - Conventional,Normal Sale,100000
762,2-STORY 1946 & NEWER,Floating Village Residential,72,8640sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,Two-story,7,5,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,24,Unfinished,0,732,756,Gas forced warm air furnace,Excellent,Yes,SBrkr,764,783,0square feet,1547,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2009.0,Unf,2,614square feet,Typical/Average,TA,Paved,169square feet,45square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2010,Contract 15% Down payment regular terms,Normal Sale,215200
763,2-STORY 1946 & NEWER,Residential Low-Density,82,9430sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NoRidge,Normal,Single-family Detached,Two-story,8,5,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,673squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,1163,Unfinished,0,89,1252,Gas forced warm air furnace,Excellent,Yes,SBrkr,1268,1097,0square feet,2365,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1999.0,RFn,3,856square feet,Typical/Average,TA,Paved,0square feet,128square feet,0square feet,0square feet,180square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,337000
764,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,30,9549sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Veenker,Normal,Townhouse End Unit,One story,8,5,1995,1996,Hip,Standard (Composite) Shingle,Brick Face,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Good&Average Exposure (split levels or foyers typically score average or above),LwQ,437,Good Living Quarters,1057,0,1494,Gas forced warm air furnace,Excellent,Yes,SBrkr,1494,0,0square feet,1494,1,1,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1995.0,Fin,2,481square feet,Typical/Average,TA,Paved,0square feet,30square feet,0square feet,0square feet,216square feet,0square feet,No,No,No,0,Apr&2006,Warranty Deed - Conventional,Normal Sale,270000
765,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,14587sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,One story,9,5,2008,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,284squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1498,1498,Gas forced warm air furnace,Excellent,Yes,SBrkr,1506,0,0square feet,1506,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008.0,Fin,2,592square feet,Typical/Average,TA,Paved,0square feet,174square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2008,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),264132
766,2-STORY 1946 & NEWER,Residential Low-Density,80,10421sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Normal,Single-family Detached,Two-story,7,5,1988,1988,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,42squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,394,Unfinished,0,586,980,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,980,734,0square feet,1714,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1988.0,Unf,2,496square feet,Typical/Average,TA,Paved,228square feet,66square feet,156square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,Shed (over 100 SF),500,Mar&2010,Warranty Deed - Conventional,Normal Sale,196500
767,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,75,12508sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Mitchel,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,7,1940,1985,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,ALQ,660,Unfinished,0,323,983,Gas forced warm air furnace,Excellent,Yes,SBrkr,983,767,0square feet,1750,2,0,4,1,Typical/Average,7, Moderate Deductions,0,No,Attached to the home,1989.0,Unf,1,423square feet,Typical/Average,TA,Paved,245square feet,0square feet,156square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),1300,Jul&2008,Warranty Deed - Conventional,Normal Sale,160000
768,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2004,2005,Hip,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,24,Unfinished,0,1836,1860,Gas forced warm air furnace,Excellent,Yes,SBrkr,1836,0,0square feet,1836,2,0,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,Fin,2,484square feet,Typical/Average,TA,Paved,120square feet,33square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Oct&2006,Warranty Deed - Conventional,Normal Sale,216837
769,2-STORY 1946 & NEWER,Residential Low-Density,47,53504sqare feet,Paved,Moderately Irregular,Hillside - Significant slope from side to side,AllPub,CulDSac,Moderate Slope,StoneBr,Normal,Single-family Detached,Two-story,8,5,2003,2003,Hip,Standard (Composite) Shingle,Cement Board&Wd Shng,Brick Face,603squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,ALQ,1416,Unfinished,0,234,1650,Gas forced warm air furnace,Excellent,Yes,SBrkr,1690,1589,0square feet,3279,3,1,4,1,Excellent,12, Moderate Deductions,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003.0,Fin,3,841square feet,Typical/Average,TA,Paved,503square feet,36square feet,0square feet,0square feet,210square feet,0square feet,No,No,No,0,Jun&2010,Warranty Deed - Conventional,Normal Sale,538000
770,SPLIT FOYER,Residential Low-Density,0,7252sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Sawyer,Normal,Single-family Detached,Split Foyer,5,5,1982,1982,Hip,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,685,Unfinished,0,173,858,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,858,0,0square feet,858,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1983.0,Unf,2,576square feet,Typical/Average,TA,Paved,120square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2009,Warranty Deed - Conventional,Normal Sale,134900
771,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,67,8877sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,One story,4,5,1951,1951,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block, Fair (70-79 inches),Fair - dampness or some cracking or settling& No Exposure,LwQ,836,Unfinished,0,0,836,Gas forced warm air furnace,Average/Typical,Yes,FuseF,1220,0,0square feet,1220,1,0,2,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1951.0,Unf,2,396square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2006,Court Officer Deed/Estate,Normal Sale,102000
772,SPLIT OR MULTI-LEVEL,Residential Low-Density,94,7819sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,Split Level,6,5,1976,1976,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,422,Below Average Living Quarters,127,480,1029,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1117,0,0square feet,1117,1,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1976.0,Unf,2,672square feet,Typical/Average,TA,Paved,144square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Mar&2010,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",107000
773,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10150sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Adjacent to feeder street&Normal,Single-family Detached,One story,5,5,1958,1958,Gable,Standard (Composite) Shingle,Wood Siding,,1squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,456,Unfinished,0,456,912,Gas forced warm air furnace,Excellent,Yes,FuseA,912,0,0square feet,912,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1958.0,RFn,1,275square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Court Officer Deed/Estate,Normal Sale,114500
774,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14226sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NridgHt,Normal,Single-family Detached,One story,8,5,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,375squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1935,1935,Gas forced warm air furnace,Good,Yes,SBrkr,1973,0,0square feet,1973,2,0,3,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Fin,3,895square feet,Typical/Average,TA,Paved,315square feet,45square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),395000
775,STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,32,4500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,Mitchel,Normal,Townhouse End Unit,One story,6,5,1998,1998,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,320squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,866,Unfinished,0,338,1204,Gas forced warm air furnace,Excellent,Yes,SBrkr,1204,0,0square feet,1204,2,0,2,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1998.0,Fin,2,412square feet,Typical/Average,TA,Paved,0square feet,247square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,162000
776,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,86,11210sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,240squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,20,Unfinished,0,1594,1614,Gas forced warm air furnace,Excellent,Yes,SBrkr,1614,0,0square feet,1614,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2005.0,RFn,3,865square feet,Typical/Average,TA,Paved,144square feet,59square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),221500
